"Date operation";"Date valeur";"Libelle";"Debit";"Credit"
"20/01/2020";"20/01/2020";"CARTE 19/01 AIRBNB * H 318-488-40 207,86 EUR";"207,86";""
"20/01/2020";"20/01/2020";"CARTE 19/01 BOULANGERIE MELESSE";"21,25";""
"20/01/2020";"20/01/2020";"CARTE 17/01 2JL RENNES";"84,00";""
"17/01/2020";"17/01/2020";"CARTE 16/01 LE LOFT BY VILL RENNES";"67,90";""
"17/01/2020";"17/01/2020";"VIR LEMAIRE AURELIEN";"50,00";""
"16/01/2020";"16/01/2020";"VIR SIACI SAINT HONORE";"";"7,50"
"15/01/2020";"15/01/2020";"CARTE 14/01 DEVRED 028 RENNES";"35,00";""
"15/01/2020";"15/01/2020";"ANN CARTE AIRBNB * H 318-488-40 313,07 EUR";"";"313,07"
"14/01/2020";"14/01/2020";"CARTE 12/01 GO VOYAGES BARCELONA";"518,09";""
"13/01/2020";"13/01/2020";"CARTE 12/01 AIRBNB * H 318-488-40 634,16 EUR";"634,16";""
"13/01/2020";"13/01/2020";"VIR C.P.A.M. RENNES";"";"12,50"
"11/01/2020";"11/01/2020";"CARTE 10/01 SARL RADAICHAM RENNES";"2,50";""
"09/01/2020";"09/01/2020";"CARTE 08/01 L ALGORYTHME RENNES";"22,20";""
"09/01/2020";"09/01/2020";"CARTE 08/01 PELTIER ALIZON RENNES";"13,03";""
"07/01/2020";"07/01/2020";"RET DAB 07/01/20 06618 RENNES CR";"30,00";""
"08/01/2020";"08/01/2020";"F COTISATION EUROCOMPTE";"9,57";""
"07/01/2020";"07/01/2020";"PRLV ASP";"26,53";""
"04/01/2020";"05/01/2020";"ECH PRET 0154435646303";"24,45";""
"04/01/2020";"05/01/2020";"ECH PRET 0154435646301";"832,41";""
"06/01/2020";"06/01/2020";"CARTE 04/01 SUPER U 35 MELESSE";"34,71";""
"04/01/2020";"04/01/2020";"CARTE 03/01 SUPER U 35 MELESSE";"93,72";""
"04/01/2020";"04/01/2020";"CARTE 03/01 HORODATEURS RENNES";"1,60";""
"03/01/2020";"03/01/2020";"CHQ 1285164";"140,00";""
"03/01/2020";"03/01/2020";"CARTE 02/01 SUPER U 35 MELESSE";"68,24";""
